time,JSOES_jvchum,year
1998-01-01T00:00:00Z,0,1998
1999-01-01T00:00:00Z,0.02,1999
2000-01-01T00:00:00Z,0.01,2000
2001-01-01T00:00:00Z,0.23,2001
2002-01-01T00:00:00Z,0.13,2002
2003-01-01T00:00:00Z,0.21,2003
2004-01-01T00:00:00Z,0.06,2004
2005-01-01T00:00:00Z,0.008506451,2005
2006-01-01T00:00:00Z,0.18,2006
2007-01-01T00:00:00Z,0.25,2007
2008-01-01T00:00:00Z,0.24,2008
2009-01-01T00:00:00Z,0.14,2009
2010-01-01T00:00:00Z,0.11,2010
2011-01-01T00:00:00Z,0.06,2011
2012-01-01T00:00:00Z,0.09,2012
2013-01-01T00:00:00Z,0.36,2013
2014-01-01T00:00:00Z,0.11,2014
2015-01-01T00:00:00Z,0.16,2015
2016-01-01T00:00:00Z,0.05,2016
2017-01-01T00:00:00Z,0.04,2017
2018-01-01T00:00:00Z,0.21,2018
2019-01-01T00:00:00Z,0.25,2019
2020-01-01T00:00:00Z,0.02,2020
2021-01-01T00:00:00Z,0.06,2021
2022-01-01T00:00:00Z,0.23,2022