time,lusi
1967-01-01T00:00:00Z,312
1968-01-01T00:00:00Z,287
1969-01-01T00:00:00Z,251
1970-01-01T00:00:00Z,241
1971-01-01T00:00:00Z,349
1972-01-01T00:00:00Z,275
1973-01-01T00:00:00Z,273
1974-01-01T00:00:00Z,348
1975-01-01T00:00:00Z,322
1976-01-01T00:00:00Z,331
1977-01-01T00:00:00Z,341
1978-01-01T00:00:00Z,275
1979-01-01T00:00:00Z,332
1980-01-01T00:00:00Z,267
1981-01-01T00:00:00Z,271
1982-01-01T00:00:00Z,356
1983-01-01T00:00:00Z,231
1984-01-01T00:00:00Z,310
1985-01-01T00:00:00Z,320
1986-01-01T00:00:00Z,272
1987-01-01T00:00:00Z,331
1988-01-01T00:00:00Z,355
1989-01-01T00:00:00Z,365
1990-01-01T00:00:00Z,364
1991-01-01T00:00:00Z,321
1992-01-01T00:00:00Z,294
1993-01-01T00:00:00Z,288
1994-01-01T00:00:00Z,363
1995-01-01T00:00:00Z,271
1996-01-01T00:00:00Z,290
1997-01-01T00:00:00Z,291
1998-01-01T00:00:00Z,318
1999-01-01T00:00:00Z,350
2000-01-01T00:00:00Z,303
2001-01-01T00:00:00Z,288
2002-01-01T00:00:00Z,303
2003-01-01T00:00:00Z,308
2004-01-01T00:00:00Z,304
2005-01-01T00:00:00Z,298
2006-01-01T00:00:00Z,365
2007-01-01T00:00:00Z,364
2008-01-01T00:00:00Z,332
2009-01-01T00:00:00Z,357
2010-01-01T00:00:00Z,280
2011-01-01T00:00:00Z,362
2012-01-01T00:00:00Z,330
2013-01-01T00:00:00Z,365
2014-01-01T00:00:00Z,333
2015-01-01T00:00:00Z,326
2016-01-01T00:00:00Z,338
2017-01-01T00:00:00Z,314
2018-01-01T00:00:00Z,357
2019-01-01T00:00:00Z,269
2020-01-01T00:00:00Z,358
2021-01-01T00:00:00Z,345
2022-01-01T00:00:00Z,331