time,33N,36N,39N,42N,45N,48N
1967-01-01T00:00:00Z,37186.863,23865.494,23865.494,19814.732,10259.731,5707.161
1968-01-01T00:00:00Z,44175.824,35592.336,35592.336,22967.404,9133.83,5037.7344
1969-01-01T00:00:00Z,43032.57,30120.035,30120.035,27850.96,6567.234,3947.232
1970-01-01T00:00:00Z,42329.363,27944.736,27944.736,27651.404,9135.859,4734.571
1971-01-01T00:00:00Z,46146.383,30878.512,30878.512,22188.023,5446.5015,2491.437
1972-01-01T00:00:00Z,31154.55,23530.188,23530.188,25820.99,6412.79,2775.95
1973-01-01T00:00:00Z,34750.633,32271.104,32271.104,41400.664,7765.874,3540.3684
1974-01-01T00:00:00Z,29424.744,32559.51,32559.51,33308.35,6977.5054,3097.241
1975-01-01T00:00:00Z,36598.45,34222.242,34222.242,36601.74,8047.5107,4200.953
1976-01-01T00:00:00Z,25943.31,24186.688,24186.688,35357.832,4795.705,1524.9546
1977-01-01T00:00:00Z,30208.098,25533.326,25533.326,41268.613,6417.8857,3418.654
1978-01-01T00:00:00Z,24007.768,22295.479,22295.479,40469.527,4710.117,3046.9824
1979-01-01T00:00:00Z,37378.3,34631.03,34631.03,26631.674,4967.299,4117.659
1980-01-01T00:00:00Z,40067.26,34630.574,34630.574,35663.89,7219.8403,5133.157
1981-01-01T00:00:00Z,19494.91,27133.766,27133.766,25100.615,2447.9902,1909.3933
1982-01-01T00:00:00Z,19065.15,18015.096,18015.096,17004.041,3797.3655,3131.7473
1983-01-01T00:00:00Z,21067.615,18699.229,18699.229,16314.474,2209.4275,2140.5972
1984-01-01T00:00:00Z,28406.703,30880.049,30880.049,22219.273,3157.1763,2424.911
1985-01-01T00:00:00Z,23914.88,24506.559,24506.559,21444.346,4642.365,4363.011
1986-01-01T00:00:00Z,21268.406,20019.78,20019.78,18338.775,4333.1387,4082.3914
1987-01-01T00:00:00Z,22740.64,19719.25,19719.25,17978.04,4741.0835,3506.2297
1988-01-01T00:00:00Z,24984.55,21554.752,21554.752,20042.217,3079.5928,902.2917
1989-01-01T00:00:00Z,24893.594,20281.729,20281.729,18776.94,6020.5693,3731.1157
1990-01-01T00:00:00Z,25895.615,23551.49,23551.49,19430.516,4336.3354,2428.974
1991-01-01T00:00:00Z,26553.73,23039.232,23039.232,24755.953,4904.332,2073.2454
1992-01-01T00:00:00Z,21295.312,18691.27,18691.27,17647.084,4969.008,3761.3987
1993-01-01T00:00:00Z,21878.695,20580.13,20580.13,18616.6,4018.0679,2550.9204
1994-01-01T00:00:00Z,28018.543,27210.096,27210.096,23635.621,3630.7368,1830.6461
1995-01-01T00:00:00Z,23771.918,22016.166,22016.166,22262.66,4346.176,2790.1516
1996-01-01T00:00:00Z,27353.068,26940.637,26940.637,27122.676,6190.4395,3863.6333
1997-01-01T00:00:00Z,27261.209,30979.611,30979.611,34721.305,2216.8938,1035.1107
1998-01-01T00:00:00Z,23028.102,27823.893,27823.893,31879.764,7023.1187,3326.206
1999-01-01T00:00:00Z,33833.023,40715.67,40715.67,49233.348,8364.607,3550.1877
2000-01-01T00:00:00Z,26640.16,31326.98,31326.98,40918.758,5748.053,1999.2142
2001-01-01T00:00:00Z,28114.217,34905.715,34905.715,52967.25,7576.788,2765.7263
2002-01-01T00:00:00Z,30482.078,36325.41,36325.41,50840.32,7877.336,2735.5386
2003-01-01T00:00:00Z,29004.508,31174.607,31174.607,39951.76,6922.2456,1939.8546
2004-01-01T00:00:00Z,19164.045,20834.092,20834.092,27623.623,4162.3125,2296.5022
2005-01-01T00:00:00Z,23720.361,23799.523,23799.523,27638.475,5594.6147,2731.2468
2006-01-01T00:00:00Z,26928.799,26287.035,26287.035,34846.223,9743.174,5621.848
2007-01-01T00:00:00Z,30311.27,33331.312,33331.312,38014.363,4796.4067,2671.4573
2008-01-01T00:00:00Z,26230.271,29676.963,29676.963,44466.11,5894.5938,2954.081
2009-01-01T00:00:00Z,27876.615,23387.674,23387.674,36092.21,4870.2544,2516.7869
2010-01-01T00:00:00Z,34885.64,21998.682,21998.682,34427.07,3673.9475,1829.7424
2011-01-01T00:00:00Z,30520.734,22780.89,22780.89,36652.11,3429.8262,954.7695
2012-01-01T00:00:00Z,36684.863,35060.24,35060.24,43403.72,6139.5625,1482.2009
2013-01-01T00:00:00Z,36414.145,35922.297,35922.297,55104.24,4729.8184,1648.2156
2014-01-01T00:00:00Z,27972.871,21392.938,21392.938,40328.61,5309.7935,1860.8489
2015-01-01T00:00:00Z,28843.02,21062.652,21062.652,37551.64,6644.86,2480.3047
2016-01-01T00:00:00Z,34900.285,26214.758,26214.758,39387.656,5521.3086,2195.2634
2017-01-01T00:00:00Z,38019.043,28019.752,28019.752,41622.9,4459.5127,1374.4407
2018-01-01T00:00:00Z,37428.723,29537.807,29537.807,46342.496,4416.2446,1564.3605
2019-01-01T00:00:00Z,33693.17,24152.193,24152.193,45533.598,3623.9434,1281.425
2020-01-01T00:00:00Z,33071.59,25928.732,25928.732,48467.965,2758.6465,564.6994
2021-01-01T00:00:00Z,42409.42,30305.174,30305.174,57010.914,4991.593,1456.1587
2022-01-01T00:00:00Z,33326.586,27753.389,27753.389,42677.863,3525.3933,860.753