time,beuti
UTC,mmol s^-1 m^-1
1988-01-15T00:00:00Z,0.614
1988-02-15T00:00:00Z,0.596
1988-03-15T00:00:00Z,0.579
1988-04-15T00:00:00Z,0.17
1988-05-15T00:00:00Z,0.735
1988-06-15T00:00:00Z,0.288
1988-07-15T00:00:00Z,0.03
1988-08-15T00:00:00Z,0.008
1988-09-15T00:00:00Z,0.003
1988-10-15T00:00:00Z,0.01
1988-11-15T00:00:00Z,0.207
1988-12-15T00:00:00Z,0.912
1989-01-15T00:00:00Z,1.434
1989-02-15T00:00:00Z,1.679
1989-03-15T00:00:00Z,2.018
1989-04-15T00:00:00Z,0.286
1989-05-15T00:00:00Z,0.328
1989-06-15T00:00:00Z,0.163
1989-07-15T00:00:00Z,0.04
1989-08-15T00:00:00Z,0.009
1989-09-15T00:00:00Z,0.005
1989-10-15T00:00:00Z,0.015
1989-11-15T00:00:00Z,0.008
1989-12-15T00:00:00Z,0.093
1990-01-15T00:00:00Z,0.444
1990-02-15T00:00:00Z,1.925
1990-03-15T00:00:00Z,1.588
1990-04-15T00:00:00Z,0.35
1990-05-15T00:00:00Z,0.197
1990-06-15T00:00:00Z,0.063
1990-07-15T00:00:00Z,0.009
1990-08-15T00:00:00Z,0.005
1990-09-15T00:00:00Z,0.005
1990-10-15T00:00:00Z,0.002
1990-11-15T00:00:00Z,0.015
1990-12-15T00:00:00Z,0.213
1991-01-15T00:00:00Z,0.345
1991-02-15T00:00:00Z,0.462
1991-03-15T00:00:00Z,1.263
1991-04-15T00:00:00Z,1.323
1991-05-15T00:00:00Z,1.623
1991-06-15T00:00:00Z,0.188
1991-07-15T00:00:00Z,0.131
1991-08-15T00:00:00Z,0.021
1991-09-15T00:00:00Z,0.014
1991-10-15T00:00:00Z,0.018
1991-11-15T00:00:00Z,0.204
1991-12-15T00:00:00Z,0.234
1992-01-15T00:00:00Z,0.191
1992-02-15T00:00:00Z,-0.045
1992-03-15T00:00:00Z,0.143
1992-04-15T00:00:00Z,0.052
1992-05-15T00:00:00Z,0.077
1992-06-15T00:00:00Z,0.058
1992-07-15T00:00:00Z,0.013
1992-08-15T00:00:00Z,0.003
1992-09-15T00:00:00Z,0.004
1992-10-15T00:00:00Z,0.003
1992-11-15T00:00:00Z,0.007
1992-12-15T00:00:00Z,0.2
1993-01-15T00:00:00Z,0.18
1993-02-15T00:00:00Z,0.151
1993-03-15T00:00:00Z,0.228
1993-04-15T00:00:00Z,0.262
1993-05-15T00:00:00Z,0.093
1993-06-15T00:00:00Z,0.016
1993-07-15T00:00:00Z,0.004
1993-08-15T00:00:00Z,0.008
1993-09-15T00:00:00Z,0.006
1993-10-15T00:00:00Z,0.002
1993-11-15T00:00:00Z,0.014
1993-12-15T00:00:00Z,0.195
1994-01-15T00:00:00Z,0.287
1994-02-15T00:00:00Z,0.282
1994-03-15T00:00:00Z,0.463
1994-04-15T00:00:00Z,1.056
1994-05-15T00:00:00Z,0.487
1994-06-15T00:00:00Z,0.063
1994-07-15T00:00:00Z,0.017
1994-08-15T00:00:00Z,0.006
1994-09-15T00:00:00Z,0.004
1994-10-15T00:00:00Z,0.01
1994-11-15T00:00:00Z,0.29
1994-12-15T00:00:00Z,0.638
1995-01-15T00:00:00Z,0.627
1995-02-15T00:00:00Z,0.237
1995-03-15T00:00:00Z,0.265
1995-04-15T00:00:00Z,1.511
1995-05-15T00:00:00Z,1.016
1995-06-15T00:00:00Z,0.334
1995-07-15T00:00:00Z,0.033
1995-08-15T00:00:00Z,0.005
1995-09-15T00:00:00Z,0.006
1995-10-15T00:00:00Z,0.005
1995-11-15T00:00:00Z,0.015
1995-12-15T00:00:00Z,0.153
1996-01-15T00:00:00Z,0.571
1996-02-15T00:00:00Z,0.551
1996-03-15T00:00:00Z,0.514
1996-04-15T00:00:00Z,0.506
1996-05-15T00:00:00Z,0.042
1996-06-15T00:00:00Z,0.064
1996-07-15T00:00:00Z,0.01
1996-08-15T00:00:00Z,0.007
1996-09-15T00:00:00Z,0.002
1996-10-15T00:00:00Z,0.023
1996-11-15T00:00:00Z,0.176
1996-12-15T00:00:00Z,0.137
1997-01-15T00:00:00Z,0.413
1997-02-15T00:00:00Z,1.207
1997-03-15T00:00:00Z,0.331
1997-04-15T00:00:00Z,0.343
1997-05-15T00:00:00Z,0.024
1997-06-15T00:00:00Z,0.012
1997-07-15T00:00:00Z,0.006
1997-08-15T00:00:00Z,0.002
1997-09-15T00:00:00Z,0.001
1997-10-15T00:00:00Z,0.003
1997-11-15T00:00:00Z,0.001
1997-12-15T00:00:00Z,0.011
1998-01-15T00:00:00Z,0.013
1998-02-15T00:00:00Z,0.347
1998-03-15T00:00:00Z,0.252
1998-04-15T00:00:00Z,0.474
1998-05-15T00:00:00Z,0.157
1998-06-15T00:00:00Z,0.033
1998-07-15T00:00:00Z,0.014
1998-08-15T00:00:00Z,0.003
1998-09-15T00:00:00Z,0.002
1998-10-15T00:00:00Z,0.014
1998-11-15T00:00:00Z,0.098
1998-12-15T00:00:00Z,0.641
1999-01-15T00:00:00Z,0.597
1999-02-15T00:00:00Z,2.234
1999-03-15T00:00:00Z,1.742
1999-04-15T00:00:00Z,2.963
1999-05-15T00:00:00Z,0.593
1999-06-15T00:00:00Z,0.374
1999-07-15T00:00:00Z,0.045
1999-08-15T00:00:00Z,0.029
1999-09-15T00:00:00Z,0.008
1999-10-15T00:00:00Z,0.011
1999-11-15T00:00:00Z,0.126
1999-12-15T00:00:00Z,0.642
2000-01-15T00:00:00Z,1.18
2000-02-15T00:00:00Z,0.836
2000-03-15T00:00:00Z,1.859
2000-04-15T00:00:00Z,0.563
2000-05-15T00:00:00Z,0.248
2000-06-15T00:00:00Z,0.012
2000-07-15T00:00:00Z,0.007
2000-08-15T00:00:00Z,0.004
2000-09-15T00:00:00Z,0.003
2000-10-15T00:00:00Z,0.01
2000-11-15T00:00:00Z,0.349
2000-12-15T00:00:00Z,0.553
2001-01-15T00:00:00Z,0.679
2001-02-15T00:00:00Z,2.275
2001-03-15T00:00:00Z,1.361
2001-04-15T00:00:00Z,3.503
2001-05-15T00:00:00Z,0.013
2001-06-15T00:00:00Z,0.112
2001-07-15T00:00:00Z,0.169
2001-08-15T00:00:00Z,0.067
2001-09-15T00:00:00Z,0.036
2001-10-15T00:00:00Z,0.013
2001-11-15T00:00:00Z,0.076
2001-12-15T00:00:00Z,1.302
2002-01-15T00:00:00Z,1.448
2002-02-15T00:00:00Z,1.666
2002-03-15T00:00:00Z,4.543
2002-04-15T00:00:00Z,2.233
2002-05-15T00:00:00Z,1.554
2002-06-15T00:00:00Z,0.338
2002-07-15T00:00:00Z,0.111
2002-08-15T00:00:00Z,0.036
2002-09-15T00:00:00Z,0.011
2002-10-15T00:00:00Z,0.025
2002-11-15T00:00:00Z,0.082
2002-12-15T00:00:00Z,0.242
2003-01-15T00:00:00Z,0.27
2003-02-15T00:00:00Z,0.364
2003-03-15T00:00:00Z,1.844
2003-04-15T00:00:00Z,2.431
2003-05-15T00:00:00Z,1.24
2003-06-15T00:00:00Z,0.673
2003-07-15T00:00:00Z,0.15
2003-08-15T00:00:00Z,0.05
2003-09-15T00:00:00Z,0.015
2003-10-15T00:00:00Z,0.024
2003-11-15T00:00:00Z,0.097
2003-12-15T00:00:00Z,0.305
2004-01-15T00:00:00Z,0.952
2004-02-15T00:00:00Z,1.807
2004-03-15T00:00:00Z,1.441
2004-04-15T00:00:00Z,0.729
2004-05-15T00:00:00Z,0.37
2004-06-15T00:00:00Z,0.249
2004-07-15T00:00:00Z,0.062
2004-08-15T00:00:00Z,0.044
2004-09-15T00:00:00Z,0.008
2004-10-15T00:00:00Z,0.005
2004-11-15T00:00:00Z,0.058
2004-12-15T00:00:00Z,0.079
2005-01-15T00:00:00Z,0.219
2005-02-15T00:00:00Z,0.14
2005-03-15T00:00:00Z,0.461
2005-04-15T00:00:00Z,2.305
2005-05-15T00:00:00Z,0.353
2005-06-15T00:00:00Z,0.357
2005-07-15T00:00:00Z,0.152
2005-08-15T00:00:00Z,0.014
2005-09-15T00:00:00Z,0.013
2005-10-15T00:00:00Z,0.043
2005-11-15T00:00:00Z,0.217
2005-12-15T00:00:00Z,0.659
2006-01-15T00:00:00Z,1.138
2006-02-15T00:00:00Z,0.86
2006-03-15T00:00:00Z,3.719
2006-04-15T00:00:00Z,0.582
2006-05-15T00:00:00Z,0.559
2006-06-15T00:00:00Z,0.124
2006-07-15T00:00:00Z,0.022
2006-08-15T00:00:00Z,0.005
2006-09-15T00:00:00Z,0.017
2006-10-15T00:00:00Z,0.014
2006-11-15T00:00:00Z,0.027
2006-12-15T00:00:00Z,0.35
2007-01-15T00:00:00Z,1.087
2007-02-15T00:00:00Z,1.623
2007-03-15T00:00:00Z,2.325
2007-04-15T00:00:00Z,3.275
2007-05-15T00:00:00Z,1.435
2007-06-15T00:00:00Z,0.457
2007-07-15T00:00:00Z,0.042
2007-08-15T00:00:00Z,0.013
2007-09-15T00:00:00Z,0.025
2007-10-15T00:00:00Z,0.068
2007-11-15T00:00:00Z,0.101
2007-12-15T00:00:00Z,1.995
2008-01-15T00:00:00Z,0.95
2008-02-15T00:00:00Z,2.579
2008-03-15T00:00:00Z,3.871
2008-04-15T00:00:00Z,3.223
2008-05-15T00:00:00Z,1.344
2008-06-15T00:00:00Z,0.428
2008-07-15T00:00:00Z,0.066
2008-08-15T00:00:00Z,0.01
2008-09-15T00:00:00Z,0.012
2008-10-15T00:00:00Z,0.023
2008-11-15T00:00:00Z,0.052
2008-12-15T00:00:00Z,0.269
2009-01-15T00:00:00Z,-0.171
2009-02-15T00:00:00Z,1.209
2009-03-15T00:00:00Z,1.365
2009-04-15T00:00:00Z,1.965
2009-05-15T00:00:00Z,0.755
2009-06-15T00:00:00Z,0.379
2009-07-15T00:00:00Z,0.025
2009-08-15T00:00:00Z,0.02
2009-09-15T00:00:00Z,0.018
2009-10-15T00:00:00Z,0.017
2009-11-15T00:00:00Z,0.076
2009-12-15T00:00:00Z,0.237
2010-01-15T00:00:00Z,0.262
2010-02-15T00:00:00Z,0.385
2010-03-15T00:00:00Z,1.225
2010-04-15T00:00:00Z,1.925
2010-05-15T00:00:00Z,1.769
2010-06-15T00:00:00Z,2.112
2010-07-15T00:00:00Z,0.592
2010-08-15T00:00:00Z,0.119
2010-09-15T00:00:00Z,0.091
2010-10-15T00:00:00Z,0.046
2010-11-15T00:00:00Z,0.575
2010-12-15T00:00:00Z,0.76
2011-01-15T00:00:00Z,-0.425
2011-02-15T00:00:00Z,0.872
2011-03-15T00:00:00Z,1.945
2011-04-15T00:00:00Z,1.254
2011-05-15T00:00:00Z,1.377
2011-06-15T00:00:00Z,0.572
2011-07-15T00:00:00Z,0.086
2011-08-15T00:00:00Z,0.048
2011-09-15T00:00:00Z,0.032
2011-10-15T00:00:00Z,0.071
2011-11-15T00:00:00Z,0.101
2011-12-15T00:00:00Z,0.41
2012-01-15T00:00:00Z,0.956
2012-02-15T00:00:00Z,2.282
2012-03-15T00:00:00Z,3.29
2012-04-15T00:00:00Z,2.121
2012-05-15T00:00:00Z,1.425
2012-06-15T00:00:00Z,0.699
2012-07-15T00:00:00Z,0.099
2012-08-15T00:00:00Z,0.007
2012-09-15T00:00:00Z,0.007
2012-10-15T00:00:00Z,0.007
2012-11-15T00:00:00Z,0.035
2012-12-15T00:00:00Z,0.279
2013-01-15T00:00:00Z,2.054
2013-02-15T00:00:00Z,2.925
2013-03-15T00:00:00Z,1.966
2013-04-15T00:00:00Z,3.977
2013-05-15T00:00:00Z,3.862
2013-06-15T00:00:00Z,2.351
2013-07-15T00:00:00Z,0.223
2013-08-15T00:00:00Z,0.33
2013-09-15T00:00:00Z,0.241
2013-10-15T00:00:00Z,0.015
2013-11-15T00:00:00Z,0.026
2013-12-15T00:00:00Z,0.262
2014-01-15T00:00:00Z,0.128
2014-02-15T00:00:00Z,0.459
2014-03-15T00:00:00Z,0.402
2014-04-15T00:00:00Z,1.524
2014-05-15T00:00:00Z,0.694
2014-06-15T00:00:00Z,0.206
2014-07-15T00:00:00Z,0.098
2014-08-15T00:00:00Z,0.006
2014-09-15T00:00:00Z,0.003
2014-10-15T00:00:00Z,0.001
2014-11-15T00:00:00Z,0.003
2014-12-15T00:00:00Z,0.031
2015-01-15T00:00:00Z,0.014
2015-02-15T00:00:00Z,0.033
2015-03-15T00:00:00Z,0.076
2015-04-15T00:00:00Z,0.607
2015-05-15T00:00:00Z,1.462
2015-06-15T00:00:00Z,0.836
2015-07-15T00:00:00Z,0.158
2015-08-15T00:00:00Z,0.094
2015-09-15T00:00:00Z,0.01
2015-10-15T00:00:00Z,0.002
2015-11-15T00:00:00Z,0.008
2015-12-15T00:00:00Z,0.146
2016-01-15T00:00:00Z,0.221
2016-02-15T00:00:00Z,0.474
2016-03-15T00:00:00Z,0.358
2016-04-15T00:00:00Z,3.244
2016-05-15T00:00:00Z,1.205
2016-06-15T00:00:00Z,2.24
2016-07-15T00:00:00Z,0.805
2016-08-15T00:00:00Z,0.112
2016-09-15T00:00:00Z,0.038
2016-10-15T00:00:00Z,0.026
2016-11-15T00:00:00Z,0.025
2016-12-15T00:00:00Z,0.226
2017-01-15T00:00:00Z,0.248
2017-02-15T00:00:00Z,0.637
2017-03-15T00:00:00Z,0.98
2017-04-15T00:00:00Z,2.852
2017-05-15T00:00:00Z,3.138
2017-06-15T00:00:00Z,3.415
2017-07-15T00:00:00Z,0.476
2017-08-15T00:00:00Z,0.308
2017-09-15T00:00:00Z,0.112
2017-10-15T00:00:00Z,0.01
2017-11-15T00:00:00Z,0.027
2017-12-15T00:00:00Z,0.039
2018-01-15T00:00:00Z,0.21
2018-02-15T00:00:00Z,0.591
2018-03-15T00:00:00Z,1.073
2018-04-15T00:00:00Z,2.623
2018-05-15T00:00:00Z,2.701
2018-06-15T00:00:00Z,0.911
2018-07-15T00:00:00Z,1.104
2018-08-15T00:00:00Z,0.08
2018-09-15T00:00:00Z,0.009
2018-10-15T00:00:00Z,0.008
2018-11-15T00:00:00Z,0.008
2018-12-15T00:00:00Z,0.106
2019-01-15T00:00:00Z,0.137
2019-02-15T00:00:00Z,0.824
2019-03-15T00:00:00Z,1.27
2019-04-15T00:00:00Z,1.091
2019-05-15T00:00:00Z,1.223
2019-06-15T00:00:00Z,0.549
2019-07-15T00:00:00Z,0.874
2019-08-15T00:00:00Z,0.271
2019-09-15T00:00:00Z,0.199
2019-10-15T00:00:00Z,0.005
2019-11-15T00:00:00Z,0.015
2019-12-15T00:00:00Z,0.052
2020-01-15T00:00:00Z,0.276
2020-02-15T00:00:00Z,0.262
2020-03-15T00:00:00Z,0.412
2020-04-15T00:00:00Z,0.712
2020-05-15T00:00:00Z,1.363
2020-06-15T00:00:00Z,0.815
2020-07-15T00:00:00Z,0.196
2020-08-15T00:00:00Z,0.344
2020-09-15T00:00:00Z,0.019
2020-10-15T00:00:00Z,0.004
2020-11-15T00:00:00Z,0.082
2020-12-15T00:00:00Z,0.282
2021-01-15T00:00:00Z,0.73
2021-02-15T00:00:00Z,1.859
2021-03-15T00:00:00Z,2.34
2021-04-15T00:00:00Z,1.615
2021-05-15T00:00:00Z,1.961
2021-06-15T00:00:00Z,1.155
2021-07-15T00:00:00Z,0.844
2021-08-15T00:00:00Z,0.185
2021-09-15T00:00:00Z,0.07
2021-10-15T00:00:00Z,0.053
2021-11-15T00:00:00Z,0.061
2021-12-15T00:00:00Z,0.198
2022-01-15T00:00:00Z,0.161
2022-02-15T00:00:00Z,0.534
2022-03-15T00:00:00Z,1.402
2022-04-15T00:00:00Z,4.068
2022-05-15T00:00:00Z,5.528
2022-06-15T00:00:00Z,3.098
2022-07-15T00:00:00Z,0.852
2022-08-15T00:00:00Z,0.477
2022-09-15T00:00:00Z,0.207
2022-10-15T00:00:00Z,0.013
2022-11-15T00:00:00Z,0.067
2022-12-15T00:00:00Z,0.225
2023-01-15T00:00:00Z,0.304
2023-02-15T00:00:00Z,1.069
2023-03-15T00:00:00Z,2.475
2023-04-15T00:00:00Z,6.195
2023-05-15T00:00:00Z,2.188
2023-06-15T00:00:00Z,1.296
2023-07-15T00:00:00Z,0.862
2023-08-15T00:00:00Z,0.768
2023-09-15T00:00:00Z,0.032
2023-10-15T00:00:00Z,0.047
2023-11-15T00:00:00Z,0.016
2023-12-15T00:00:00Z,0.009
